Department Pillar,Agent ID,Agent Name,Agent Type,Processes Automated,Tasks Performed,Trigger,Input Data,Output Data,Tools & Integrations,Human-in-the-Loop,LLM Capabilities,Priority
Revenue Intelligence,RI-001,Revenue Planning Agent,Strategic Planner,"1.1 Annual Revenue Planning, 1.3 OKR & Goal Setting","Ingests prior-year ARR actuals, models market TAM, calculates pipeline coverage requirements, auto-generates revenue target cascade to each pillar, drafts OKR recommendations for CRO approval",Scheduled (Annual + Quarterly),"CRM revenue data, financial model, market data, prior OKRs","Revenue target plan, pipeline coverage requirements, pillar OKRs, budget recommendations","CRM, BI Tool, Financial Model API, Google Sheets/Excel",CRO approval on final targets,"Reasoning, Data Analysis, Report Generation",Critical
Revenue Intelligence,RI-002,ICP Intelligence Agent,Data Analyst,1.2 Unified ICP & Buyer Persona Development,"Pulls closed-won, expansion, and churned account data; identifies common firmographic and behavioral patterns; generates updated ICP profiles; updates CRM lead scoring rules automatically; publishes ICP to all pillars",Scheduled (Quarterly) + triggered on significant win/churn spike,"CRM closed-won data, churn data, expansion data, firmographic data","Updated ICP document, CRM lead scoring rules, persona profiles","CRM, Data Enrichment (ZoomInfo/Clearbit), BI Tool, Google Docs",RevOps Manager review before publishing,"Pattern Recognition, Clustering, Report Generation",Critical
Revenue Intelligence,RI-003,Forecasting Agent,Predictive Analyst,"5.3 Revenue Forecasting (Weekly), 3.17 Sales Forecasting","Pulls all pipeline data, applies weighted probability by stage, factors renewal ARR at risk, expansion pipeline, and historical close rates, runs AI forecast model, generates commit/best-case/pipeline ranges, posts forecast to dashboard before Monday meeting",Scheduled (Every Monday 7am),"CRM pipeline, historical close rates, renewal data, expansion data, AI model scores","Weekly forecast report (commit, best case, pipeline), variance analysis, risk flags","CRM, Clari/Gong, BI Dashboard, Slack",CRO reviews and approves commit number,"Predictive Modeling, Time-Series Analysis, Natural Language Summary",Critical
Revenue Intelligence,RI-004,CRM Data Governance Agent,Data Quality Monitor,5.1 CRM Administration & Data Governance,"Runs daily CRM audit for missing required fields by stage, flags incomplete records, auto-populates fields from call transcripts and emails (via AI extraction), deduplicates contacts and accounts, standardizes picklist values, alerts owners of data gaps",Scheduled (Daily) + real-time on record creation,"CRM records, call transcripts, email data, enrichment APIs","Data quality score, incomplete record list, auto-populated fields, duplicate merge logs","CRM, Gong/Chorus, ZoomInfo/Clearbit, Slack",RevOps Manager reviews weekly quality report,"Information Extraction, Data Normalization, Deduplication",High
Revenue Intelligence,RI-005,Attribution & Analytics Agent,Analytics Engine,"5.2 Marketing Attribution Modeling, 5.4 RevOps Analytics & Reporting","Tracks all customer touchpoints across channels, applies multi-touch attribution model, calculates pipeline sourced by channel, builds and refreshes all RevOps dashboards, delivers automated weekly reports to stakeholders, flags anomalies in conversion rates",Scheduled (Daily refresh) + on-demand,"CRM, MAP UTM data, ad platform data, website analytics","Attribution report, channel ROI, pipeline sourced %, automated stakeholder reports","CRM, MAP, Google Analytics, BI Tool (Looker/Tableau), Google Ads, LinkedIn Ads",RevOps Manager reviews anomaly alerts,"Multi-Touch Attribution, Anomaly Detection, Report Narration",High
Revenue Intelligence,RI-006,Revenue Leak Detection Agent,Process Auditor,"6.10 Revenue Leak Detection & Fix, 6.9 CAC & LTV Analysis","Audits full funnel conversion rates monthly, compares to benchmarks, identifies stages with abnormal drop-off, quantifies revenue impact of each leak, calculates CAC and LTV ratios, flags stages breaching thresholds, generates root cause hypothesis and fix recommendations",Scheduled (Monthly),"CRM funnel data, conversion benchmarks, financial data","Revenue leak report, CAC/LTV dashboard, prioritized fix recommendations","CRM, BI Tool, Financial Model",RevOps Manager reviews and assigns fixes,"Funnel Analysis, Root Cause Analysis, Recommendation Generation",High
Revenue Intelligence,RI-007,Meeting Intelligence Agent,Conversation Analyst,5.7 Revenue Intelligence & AI Deployment (Call Intelligence),"Auto-transcribes all sales and CS calls, extracts MEDDPICC fields and populates CRM, identifies talk patterns (competitor mentions, objection types, risk signals), generates post-call coaching tips per rep, surfaces deal risks from conversation signals",Real-time (on call completion),"Call recordings, transcripts","Call summary, CRM field updates, coaching alerts, deal risk flags, objection log","Gong/Chorus, CRM, Slack, Sales Enablement Tool",Manager reviews coaching recommendations weekly,"Speech-to-Text, NLP, Information Extraction, Coaching Insight Generation",Critical
Demand Generation,DG-001,Campaign Planning Agent,Strategic Planner,"2.1 Demand Gen Strategy Planning, 2.3 Campaign Planning & Briefing","Reviews pipeline coverage gaps, analyses channel performance data, calculates required MQL volume by channel, auto-drafts campaign briefs with recommended channels, budget, ICP targeting, and messaging angle based on ICP and historical data",Scheduled (Quarterly + Monthly),"CRM pipeline data, MAP channel performance, budget data, ICP profile","Campaign briefs, budget allocation recommendations, MQL targets by channel","CRM, MAP, BI Tool, Google Docs/Notion",Head of Demand Gen approves before execution,"Planning, Reasoning, Document Generation",High
Demand Generation,DG-002,Content Generation Agent,Content Creator,"2.2 Content Strategy & Editorial Calendar, SEO content production","Researches target keywords per persona and stage, identifies content gaps vs. competitors, drafts SEO-optimized blog posts, LinkedIn posts, email copy, ad copy, landing page copy, and nurture email sequences aligned to ICP pain points",Scheduled (Monthly calendar) + on-demand per campaign brief,"ICP profiles, SEO keyword data, competitor content, campaign briefs, product messaging","Blog drafts, email sequences, ad copy, landing page copy, LinkedIn posts, editorial calendar","SEO Tool (Semrush/Ahrefs), CMS, MAP, LLM API",Content Lead reviews and approves before publishing,"Long-form Writing, SEO Optimization, Persona-based Copywriting",High
Demand Generation,DG-003,Lead Scoring Agent,Scoring Engine,"2.14 Lead Scoring & Grading, 2.15 MQL Definition & Qualification Review","Continuously scores all leads using behavioral signals (page visits, content downloads, email clicks, webinar attendance) and firmographic fit (ICP match score), promotes leads to MQL when threshold reached, flags scoring model anomalies, recalibrates scoring weights quarterly using ML on conversion data",Real-time (on every lead activity event),"MAP activity data, CRM firmographic data, ICP scoring rules, conversion history","Updated lead scores, MQL promotions, score change log, quarterly recalibration report","MAP, CRM, BI Tool",RevOps Manager reviews quarterly recalibration,"ML Scoring, Predictive Modeling, Anomaly Detection",Critical
